,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
343,F,1,05/19/2009,12/05/2016,1,1.0,,05/19/200912/05/2016,,White
344,M,1,09/09/2013,04/10/2015,1,1.0,,09/09/201304/10/2015,,White
345,M,2,06/09/2014,06/26/2015,1,1.0,,06/09/201406/26/2015,,White
346,M,2,09/30/2013,12/18/2014,2,1.0,,09/30/201312/18/2014,,White
347,F,2,02/17/2014,07/02/2015,1,1.0,,02/17/201407/02/2015,,White
348,M,2,03/04/2014,02/25/2015,2,1.0,,03/04/201402/25/2015,,White
349,M,2,10/29/2012,06/30/2014,1,1.0,,10/29/201206/30/2014,,White
350,M,2,02/17/2014,11/14/2014,1,1.0,,02/17/201411/14/2014,,White
351,M,2,08/11/2014,08/17/2015,1,1.0,,08/11/201408/17/2015,,White
352,F,2,01/28/2013,07/10/2014,1,1.0,,01/28/201307/10/2014,,White
353,M,2,09/03/2013,08/10/2015,1,1.0,,09/03/201308/10/2015,,White
354,M,1,10/02/2000,07/02/2014,2,1.0,,10/02/200007/02/2014,,White
355,F,1,03/25/1996,03/25/2016,2,1.0,,03/25/199603/25/2016,,White
356,F,1,02/09/2009,04/06/2015,2,1.0,,02/09/200904/06/2015,,White
357,M,2,07/31/2012,05/05/2014,2,1.0,,07/31/201205/05/2014,,White
358,F,1,07/14/2014,09/02/2016,1,1.0,,07/14/201409/02/2016,,White
359,F,2,08/23/2010,05/16/2014,1,1.0,,08/23/201005/16/2014,,White
360,M,1,10/26/1992,07/16/2014,2,2.0,,10/26/199207/16/2014,,White
361,M,2,02/07/2011,10/09/2014,1,1.0,,02/07/201110/09/2014,,White
362,M,2,01/28/2013,08/20/2014,2,1.0,,01/28/201308/20/2014,,White
363,M,2,09/16/2013,10/02/2014,1,1.0,,09/16/201310/02/2014,,White
364,M,2,10/14/2013,12/23/2014,2,1.0,,10/14/201312/23/2014,,White
365,M,2,12/11/2013,12/31/2014,1,1.0,,12/11/201312/31/2014,,White
366,M,2,01/07/2013,03/07/2014,2,1.0,,01/07/201303/07/2014,,White
367,F,2,02/03/2014,05/08/2015,1,1.0,,02/03/201405/08/2015,,White
368,M,2,02/03/2014,09/04/2015,1,1.0,,02/03/201409/04/2015,,White
369,F,2,05/29/2012,03/14/2014,1,1.0,,05/29/201203/14/2014,,White
370,M,2,02/06/2006,01/09/2015,1,2.0,,02/06/200601/09/2015,,White
371,M,2,04/24/2006,08/11/2015,2,5.0,,04/24/200608/11/2015,,White
372,M,2,04/26/2006,01/03/2014,2,1.0,,04/26/200601/03/2014,,White
373,M,2,08/11/2014,05/01/2015,1,1.0,,08/11/201405/01/2015,,White
374,M,2,11/25/2013,03/20/2015,1,1.0,,11/25/201303/20/2015,,White
375,M,2,01/07/2013,01/08/2015,2,1.0,,01/07/201301/08/2015,,White
376,M,1,10/01/2012,07/02/2014,2,1.0,,10/01/201207/02/2014,,White
377,M,1,07/02/1996,04/03/2014,2,3.0,,07/02/199604/03/2014,,White
378,M,1,04/05/2010,08/29/2014,1,1.0,,04/05/201008/29/2014,,White
379,M,1,01/02/1989,07/07/2014,2,1.0,,01/02/198907/07/2014,,White
380,M,1,07/08/2013,02/17/2016,1,1.0,,07/08/201302/17/2016,,White
381,F,1,07/15/2013,09/18/2015,1,1.0,,07/15/201309/18/2015,,White
382,F,1,08/06/2013,09/06/2016,2,1.0,,08/06/201309/06/2016,,White
383,M,2,10/15/2012,11/07/2014,1,1.0,,10/15/201211/07/2014,,White
384,F,2,10/29/2012,06/24/2015,1,1.0,,10/29/201206/24/2015,,White
385,M,2,10/24/2011,04/17/2014,1,1.0,,10/24/201104/17/2014,,White
386,M,2,07/07/2014,07/31/2015,1,1.0,,07/07/201407/31/2015,,White
387,M,2,09/08/2014,10/22/2014,1,1.0,,09/08/201410/22/2014,,White
388,M,1,03/11/2013,10/06/2014,1,1.0,,03/11/201310/06/2014,,White
389,M,1,12/10/2012,08/01/2014,1,1.0,,12/10/201208/01/2014,,White
390,M,2,05/20/2013,08/20/2014,1,1.0,,05/20/201308/20/2014,,White
391,F,2,07/08/2013,03/20/2014,1,1.0,,07/08/201303/20/2014,,White
392,M,2,03/31/2014,07/18/2014,1,1.0,,03/31/201407/18/2014,,White
393,M,2,06/16/2003,06/30/2015,1,5.0,,06/16/200306/30/2015,,White
394,F,1,10/24/2011,04/16/2014,1,1.0,,10/24/201104/16/2014,,White
395,F,1,11/12/2014,11/12/2014,1,1.0,,11/12/201411/12/2014,,White
396,M,2,11/10/2014,04/30/2015,2,2.0,,11/10/201404/30/2015,,White
397,F,2,08/30/2010,12/31/2014,1,2.0,,08/30/201012/31/2014,,White
398,M,2,04/11/2011,06/11/2015,1,1.0,,04/11/201106/11/2015,,White
399,M,1,03/09/2015,05/01/2015,1,1.0,,03/09/201505/01/2015,,White
400,M,1,03/09/2015,07/27/2015,1,1.0,,03/09/201507/27/2015,,White
401,F,2,05/18/2015,08/14/2015,1,1.0,,05/18/201508/14/2015,,White
402,M,1,06/01/2015,08/31/2015,2,1.0,,06/01/201508/31/2015,,White
403,F,2,09/08/2014,05/27/2016,1,1.0,,09/08/201405/27/2016,,White
404,F,2,12/15/2008,11/24/2015,1,1.0,,12/15/200811/24/2015,,White
405,M,2,01/04/2010,09/09/2016,1,1.0,,01/04/201009/09/2016,,White
406,M,2,12/19/2005,05/11/2016,1,4.0,,12/19/200505/11/2016,,White
407,M,2,08/24/2015,05/17/2016,2,1.0,,08/24/201505/17/2016,,White
408,F,2,08/12/2013,02/29/2016,1,1.0,,08/12/201302/29/2016,,White
409,M,2,03/21/2011,03/31/2016,1,5.0,,03/21/201103/31/2016,,White
410,F,2,04/28/2014,08/05/2016,1,1.0,,04/28/201408/05/2016,,White
411,M,2,10/26/1999,09/02/2016,1,6.0,,10/26/199909/02/2016,,White
412,M,2,10/05/2015,08/26/2016,1,1.0,,10/05/201508/26/2016,,White
413,M,2,08/10/2015,04/15/2016,1,1.0,,08/10/201504/15/2016,,White
414,F,2,10/22/2012,11/07/2016,2,1.0,,10/22/201211/07/2016,,White
415,M,2,09/23/2013,11/21/2016,1,1.0,,09/23/201311/21/2016,,White
416,M,2,02/04/2008,12/05/2016,2,1.0,,02/04/200812/05/2016,,White
417,M,2,03/10/1997,03/04/2016,1,5.0,,03/10/199703/04/2016,,White
418,F,2,06/04/2015,04/08/2016,1,1.0,,06/04/201504/08/2016,,White
419,M,2,08/11/2014,10/14/2016,1,1.0,,08/11/201410/14/2016,,White
420,M,2,08/11/2014,05/27/2016,1,1.0,,08/11/201405/27/2016,,White
421,M,2,12/14/2015,06/03/2016,1,1.0,,12/14/201506/03/2016,,White
422,F,1,12/14/2015,10/28/2016,1,1.0,,12/14/201510/28/2016,,White
423,M,2,04/15/2014,10/09/2015,1,4.0,,04/15/201410/09/2015,,White
424,F,2,08/04/2014,12/30/2016,1,1.0,,08/04/201412/30/2016,,White
425,M,2,07/14/2003,10/30/2015,1,1.0,,07/14/200310/30/2015,,White
426,M,2,02/08/1999,05/02/2016,1,1.0,,02/08/199905/02/2016,,White
427,M,2,03/05/2007,09/22/2016,2,1.0,,03/05/200709/22/2016,,White
428,M,2,02/18/2008,01/14/2016,2,2.0,,02/18/200801/14/2016,,White
429,M,2,08/02/1999,04/01/2016,1,3.0,,08/02/199904/01/2016,,White
430,F,2,07/07/2008,06/03/2016,1,5.0,,07/07/200806/03/2016,,White
431,M,2,05/24/2010,11/20/2015,1,1.0,,05/24/201011/20/2015,,White
432,M,2,11/08/2010,04/06/2016,1,1.0,,11/08/201004/06/2016,,White
433,F,2,11/15/2010,11/22/2016,1,1.0,,11/15/201011/22/2016,,White
434,M,2,03/28/2011,09/25/2015,1,1.0,,03/28/201109/25/2015,,White
435,M,2,05/09/2011,03/08/2016,1,1.0,,05/09/201103/08/2016,,White
436,M,2,02/18/2013,11/04/2015,2,1.0,,02/18/201311/04/2015,,White
437,M,2,09/30/2011,04/18/2016,1,1.0,,09/30/201104/18/2016,,White
438,M,2,12/09/2013,03/03/2016,1,1.0,,12/09/201303/03/2016,,White
439,M,2,02/10/2014,09/17/2015,2,1.0,,02/10/201409/17/2015,,White
440,M,2,02/25/2014,10/16/2015,1,1.0,,02/25/201410/16/2015,,White
441,F,2,07/07/2014,05/02/2016,1,1.0,,07/07/201405/02/2016,,White
442,F,2,09/15/2014,05/24/2016,1,1.0,,09/15/201405/24/2016,,White
443,M,2,07/21/2014,10/16/2015,1,1.0,,07/21/201410/16/2015,,White
444,M,2,09/08/2014,11/04/2015,1,1.0,,09/08/201411/04/2015,,White
445,F,2,05/07/2012,10/07/2016,1,1.0,,05/07/201210/07/2016,,White
446,M,1,10/19/2015,08/19/2016,1,1.0,,10/19/201508/19/2016,,White
447,M,1,01/11/2016,06/17/2016,1,1.0,,01/11/201606/17/2016,,White
448,M,2,04/15/2013,11/01/2016,2,1.0,,04/15/201311/01/2016,,White
449,F,1,08/13/2012,09/23/2015,1,1.0,,08/13/201209/23/2015,,White
450,M,1,02/01/2016,09/30/2016,1,1.0,,02/01/201609/30/2016,,White
451,F,1,01/14/2016,12/20/2016,1,1.0,,01/14/201612/20/2016,,White
452,M,2,05/02/2016,05/21/2016,1,1.0,,05/02/201605/21/2016,,White
453,M,1,04/06/2016,09/14/2016,2,1.0,,04/06/201609/14/2016,,White
454,M,2,05/02/2016,05/27/2016,1,1.0,,05/02/201605/27/2016,,White
455,F,2,05/16/2016,08/05/2016,1,1.0,,05/16/201608/05/2016,,White
456,M,2,06/13/2016,11/30/2016,1,1.0,,06/13/201611/30/2016,,White
457,M,2,02/22/2016,08/16/2016,2,1.0,,02/22/201608/16/2016,,White
458,M,1,05/11/2016,08/26/2016,1,1.0,,05/11/201608/26/2016,,White
459,M,1,06/20/2016,08/02/2016,2,1.0,,06/20/201608/02/2016,,White
460,M,2,08/01/2016,10/12/2016,2,1.0,,08/01/201610/12/2016,,White
461,M,2,07/11/2016,10/03/2016,1,1.0,,07/11/201610/03/2016,,White
462,M,1,08/02/2016,08/19/2016,1,1.0,,08/02/201608/19/2016,,White
463,F,2,03/29/2004,02/26/2016,1,1.0,,03/29/200402/26/2016,,White
464,F,2,09/19/2016,01/11/2017,2,1.0,,09/19/201601/11/2017,,White
465,M,2,01/10/2016,11/25/2016,2,1.0,,01/10/201611/25/2016,,White
466,M,2,01/05/2015,06/23/2015,1,1.0,,01/05/201506/23/2015,,White
467,M,1,02/05/2014,04/04/2014,2,1.0,,02/05/201404/04/2014,,White
468,M,1,03/12/2014,05/10/2014,2,1.0,,03/12/201405/10/2014,,White
469,F,1,12/03/2007,04/08/2014,1,1.0,,12/03/200704/08/2014,,White
470,F,1,08/08/2012,09/18/2014,1,1.0,,08/08/201209/18/2014,,White
471,F,1,08/13/2012,11/11/2016,1,1.0,,08/13/201211/11/2016,,White
472,M,1,03/24/2011,04/02/2015,1,1.0,,03/24/201104/02/2015,,White
473,M,1,03/11/2008,01/17/2014,2,1.0,,03/11/200801/17/2014,,White
474,F,1,11/25/2013,02/04/2014,1,1.0,,11/25/201302/04/2014,,White
475,F,1,03/15/2010,07/16/2014,1,1.0,,03/15/201007/16/2014,,White
476,M,2,05/24/2010,11/03/2014,1,1.0,,05/24/201011/03/2014,,White
477,F,2,07/26/2010,01/22/2014,1,1.0,,07/26/201001/22/2014,,White
478,M,2,10/30/2006,12/17/2014,1,1.0,,10/30/200612/17/2014,,White
479,M,2,05/12/2014,08/08/2014,1,1.0,,05/12/201408/08/2014,,White
480,M,2,02/08/2010,07/27/2015,2,1.0,,02/08/201007/27/2015,,White
481,M,2,02/22/2010,10/20/2014,2,1.0,,02/22/201010/20/2014,,White
482,F,2,05/24/2010,04/23/2014,1,1.0,,05/24/201004/23/2014,,White
483,M,2,03/31/1997,07/18/2014,1,1.0,,03/31/199707/18/2014,,White
484,F,2,05/05/2014,07/31/2015,1,1.0,,05/05/201407/31/2015,,White
485,F,1,09/09/2013,07/19/2016,2,1.0,,09/09/201307/19/2016,,White
486,F,1,09/09/2013,04/27/2016,1,1.0,,09/09/201304/27/2016,,White
487,M,1,09/16/2013,06/30/2014,2,1.0,,09/16/201306/30/2014,,White
488,M,1,09/23/2013,04/24/2015,1,1.0,,09/23/201304/24/2015,,White
489,F,1,10/07/2013,01/13/2017,2,1.0,,10/07/201301/13/2017,,White
490,M,2,09/23/2013,04/30/2014,1,1.0,,09/23/201304/30/2014,,White
491,M,2,10/21/2013,05/30/2014,1,1.0,,10/21/201305/30/2014,,White
492,F,2,12/09/2013,10/29/2014,2,1.0,,12/09/201310/29/2014,,White
493,F,2,04/16/2012,03/09/2015,2,1.0,,04/16/201203/09/2015,,White
494,M,2,01/27/2014,10/17/2014,1,1.0,,01/27/201410/17/2014,,White
495,F,2,01/20/2014,06/26/2014,2,1.0,,01/20/201406/26/2014,,White
496,M,2,01/06/2014,07/29/2015,1,1.0,,01/06/201407/29/2015,,White
497,M,2,03/05/2012,03/05/2014,1,1.0,,03/05/201203/05/2014,,White
498,F,2,04/30/2012,10/31/2014,1,1.0,,04/30/201210/31/2014,,White
499,M,2,04/28/2014,11/28/2014,1,1.0,,04/28/201411/28/2014,,White
500,M,2,07/23/2012,06/26/2014,2,1.0,,07/23/201206/26/2014,,White
501,M,2,09/06/2012,04/25/2014,1,1.0,,09/06/201204/25/2014,,White
502,M,2,12/24/2012,03/17/2014,2,1.0,,12/24/201203/17/2014,,White
503,M,2,07/07/2014,02/25/2015,1,1.0,,07/07/201402/25/2015,,White
504,M,2,07/21/2014,10/08/2014,2,1.0,,07/21/201410/08/2014,,White
505,F,2,02/24/2014,03/31/2014,1,1.0,,02/24/201403/31/2014,,White
506,M,2,10/28/2013,06/13/2014,1,1.0,,10/28/201306/13/2014,,White
507,M,1,03/03/2008,07/02/2014,2,1.0,,03/03/200807/02/2014,,White
508,F,2,02/18/2013,03/20/2015,1,1.0,,02/18/201303/20/2015,,White
509,M,2,10/07/2013,08/22/2014,1,1.0,,10/07/201308/22/2014,,White
510,M,2,07/18/2011,05/08/2015,1,2.0,,07/18/201105/08/2015,,White
511,M,2,12/04/2006,08/07/2015,1,1.0,,12/04/200608/07/2015,,White
512,F,2,09/18/2006,06/12/2015,2,1.0,,09/18/200606/12/2015,,White
513,M,2,09/12/2011,02/04/2015,2,7.0,,09/12/201102/04/2015,,White
514,F,2,09/19/2011,04/18/2014,2,2.0,,09/19/201104/18/2014,,White
515,M,2,09/19/2011,08/27/2014,2,1.0,,09/19/201108/27/2014,,White
516,M,2,01/16/2012,11/07/2014,1,7.0,,01/16/201211/07/2014,,White
517,F,2,02/01/2012,04/10/2014,1,1.0,,02/01/201204/10/2014,,White
518,M,1,02/18/2014,03/20/2015,1,1.0,,02/18/201403/20/2015,,White
519,F,1,09/15/2014,11/07/2014,1,1.0,,09/15/201411/07/2014,,White
520,M,2,08/16/2005,09/25/2014,1,1.0,,08/16/200509/25/2014,,White
521,M,1,07/12/2010,07/02/2015,2,1.0,,07/12/201007/02/2015,,White
522,F,2,11/11/2013,05/15/2015,1,1.0,,11/11/201305/15/2015,,White
523,M,2,12/02/2013,02/28/2014,2,1.0,,12/02/201302/28/2014,,White
524,M,2,11/11/2013,06/20/2014,1,1.0,,11/11/201306/20/2014,,White
525,F,2,05/29/2007,07/10/2014,1,1.0,,05/29/200707/10/2014,,White
526,F,2,02/18/2014,05/08/2015,1,1.0,,02/18/201405/08/2015,,White
527,M,2,11/18/2013,08/27/2014,1,1.0,,11/18/201308/27/2014,,White
528,F,2,08/27/2008,11/07/2014,1,1.0,,08/27/200811/07/2014,,White
529,F,2,03/10/2014,04/28/2015,1,1.0,,03/10/201404/28/2015,,White
530,M,2,05/29/2007,06/19/2014,1,3.0,,05/29/200706/19/2014,,White
531,F,2,12/06/2005,07/31/2015,1,1.0,,12/06/200507/31/2015,,White
532,F,1,03/24/2014,01/29/2016,1,1.0,,03/24/201401/29/2016,,White
533,M,2,09/05/2006,04/10/2015,1,1.0,,09/05/200604/10/2015,,White
534,F,1,09/08/1998,07/14/2014,2,1.0,,09/08/199807/14/2014,,White
535,F,2,10/20/2014,06/02/2015,1,1.0,,10/20/201406/02/2015,,White
536,M,1,06/22/2009,07/22/2014,2,1.0,,06/22/200907/22/2014,,White
537,F,1,01/30/2012,07/07/2014,2,1.0,,01/30/201207/07/2014,,White
538,M,1,09/01/1998,02/06/2015,1,1.0,,09/01/199802/06/2015,,White
539,M,1,09/03/2013,04/04/2014,2,1.0,,09/03/201304/04/2014,,White
540,M,2,03/05/2012,03/18/2014,2,1.0,,03/05/201203/18/2014,,White
541,F,2,03/12/2012,08/01/2014,1,4.0,,03/12/201208/01/2014,,White
542,M,2,07/28/2014,05/08/2015,1,1.0,,07/28/201405/08/2015,,White
543,M,2,09/08/2014,05/08/2015,1,1.0,,09/08/201405/08/2015,,White
544,M,2,08/16/2010,11/14/2014,1,1.0,,08/16/201011/14/2014,,White
545,F,2,07/23/2012,01/02/2015,1,3.0,,07/23/201201/02/2015,,White
546,M,1,07/30/2012,02/27/2015,1,1.0,,07/30/201202/27/2015,,White
547,F,1,08/26/2013,11/06/2015,1,1.0,,08/26/201311/06/2015,,White
548,F,2,05/20/2013,04/30/2015,1,1.0,,05/20/201304/30/2015,,White
549,M,1,01/12/2010,04/10/2015,1,1.0,,01/12/201004/10/2015,,White
550,M,2,03/17/2014,06/03/2014,1,1.0,,03/17/201406/03/2014,,White
551,M,2,08/18/2014,10/21/2014,2,1.0,,08/18/201410/21/2014,,White
552,F,2,03/26/2014,10/17/2014,1,1.0,,03/26/201410/17/2014,,White
553,M,2,03/31/2014,08/26/2014,1,1.0,,03/31/201408/26/2014,,White
554,M,1,10/06/2014,07/13/2015,2,1.0,,10/06/201407/13/2015,,White
555,F,2,05/12/2014,08/01/2014,1,1.0,,05/12/201408/01/2014,,White
556,M,2,06/25/2007,06/17/2014,1,1.0,,06/25/200706/17/2014,,White
557,M,1,07/29/2013,08/01/2014,1,1.0,,07/29/201308/01/2014,,White
558,F,1,11/19/2014,06/01/2016,1,1.0,,11/19/201406/01/2016,,White
559,F,2,10/20/2003,11/03/2014,1,4.0,,10/20/200311/03/2014,,White
560,M,1,09/25/2007,09/03/2015,1,1.0,,09/25/200709/03/2015,,White
561,M,2,01/05/2015,08/07/2015,1,1.0,,01/05/201508/07/2015,,White
562,F,1,02/02/2015,03/13/2015,1,1.0,,02/02/201503/13/2015,,White
563,M,1,12/19/2006,03/27/2015,1,1.0,,12/19/200603/27/2015,,White
564,F,1,07/27/2015,01/22/2016,1,1.0,,07/27/201501/22/2016,,White
565,F,1,08/24/2015,02/26/2016,1,1.0,,08/24/201502/26/2016,,White
566,M,1,08/10/2015,02/10/2016,1,1.0,,08/10/201502/10/2016,,White
567,F,1,08/10/2015,09/01/2015,1,1.0,,08/10/201509/01/2015,,White
568,M,2,11/05/2008,12/24/2015,1,4.0,,11/05/200812/24/2015,,White
569,M,2,12/01/2014,03/23/2016,1,1.0,,12/01/201403/23/2016,,White
570,F,2,11/06/2003,12/16/2016,1,4.0,,11/06/200312/16/2016,,White
571,M,2,07/07/2014,12/30/2016,1,1.0,,07/07/201412/30/2016,,White
572,M,2,04/12/2004,03/15/2016,1,1.0,,04/12/200403/15/2016,,White
573,M,2,04/08/2005,01/05/2017,2,1.0,,04/08/200501/05/2017,,White
574,M,2,03/05/2012,10/13/2015,1,1.0,,03/05/201210/13/2015,,White
575,M,2,11/19/2012,12/24/2015,1,1.0,,11/19/201212/24/2015,,White
576,M,2,06/04/2007,03/29/2016,1,2.0,,06/04/200703/29/2016,,White
577,M,2,06/26/2014,12/05/2015,1,1.0,,06/26/201412/05/2015,,White
578,M,2,08/06/2007,10/07/2016,1,3.0,,08/06/200710/07/2016,,Not Available
579,M,2,03/03/2014,10/07/2016,2,1.0,,03/03/201410/07/2016,,Not Available
580,M,2,08/10/2015,11/11/2016,1,1.0,,08/10/201511/11/2016,,Not Available
581,M,2,08/31/2015,08/19/2016,1,1.0,,08/31/201508/19/2016,,Not Available
582,M,2,11/03/2014,11/01/2016,1,1.0,,11/03/201411/01/2016,,Not Available
583,F,2,07/06/2015,11/12/2015,2,1.0,,07/06/201511/12/2015,,Not Available
584,M,2,07/20/2015,06/21/2016,1,2.0,,07/20/201506/21/2016,,Not Available
585,M,2,05/18/2015,10/10/2016,1,1.0,,05/18/201510/10/2016,,Not Available
586,F,2,02/14/2000,09/28/2015,1,5.0,,02/14/200009/28/2015,,Not Available
587,F,2,02/13/2006,05/15/2015,1,3.0,,02/13/200605/15/2015,,Not Available
588,M,2,11/22/2010,03/29/2016,1,1.0,,11/22/201003/29/2016,,Not Available
589,M,2,05/12/2014,08/06/2014,1,1.0,,05/12/201408/06/2014,,Not Available
590,M,1,10/05/2015,12/15/2015,2,1.0,,10/05/201512/15/2015,,Not Available
591,F,1,10/13/2015,02/11/2016,1,1.0,,10/13/201502/11/2016,,Not Available
592,M,2,12/14/2015,09/26/2016,1,1.0,,12/14/201509/26/2016,,Not Available
593,M,2,03/03/2014,09/11/2015,1,1.0,,03/03/201409/11/2015,,Not Available
594,F,2,06/22/2015,04/29/2016,1,1.0,,06/22/201504/29/2016,,Not Available
595,F,2,05/29/2007,01/27/2016,1,1.0,,05/29/200701/27/2016,,Not Available
596,M,2,06/14/2010,09/06/2016,2,1.0,,06/14/201009/06/2016,,Not Available
597,M,2,03/14/2011,11/14/2016,1,1.0,,03/14/201111/14/2016,,Not Available
598,M,2,06/06/2011,10/09/2015,2,1.0,,06/06/201110/09/2015,,Not Available
599,M,2,04/09/2012,05/13/2016,1,1.0,,04/09/201205/13/2016,,Not Available
600,F,2,04/22/2013,12/16/2015,1,1.0,,04/22/201312/16/2015,,Not Available
601,M,2,09/23/2013,04/05/2016,2,1.0,,09/23/201304/05/2016,,Not Available
602,F,2,03/17/2014,01/29/2016,2,1.0,,03/17/201401/29/2016,,Not Available
603,M,2,03/23/2015,10/25/2016,1,1.0,,03/23/201510/25/2016,,Not Available
604,M,2,07/21/2014,03/02/2016,1,1.0,,07/21/201403/02/2016,,Not Available
605,F,2,10/06/2014,03/23/2016,1,1.0,,10/06/201403/23/2016,,Not Available
606,M,2,04/13/2015,06/03/2016,1,1.0,,04/13/201506/03/2016,,Not Available
607,F,2,06/15/2015,01/18/2017,1,1.0,,06/15/201501/18/2017,,Not Available
608,M,2,03/18/2013,05/13/2016,1,1.0,,03/18/201305/13/2016,,Not Available
609,M,1,12/07/2015,03/10/2016,2,1.0,,12/07/201503/10/2016,,Not Available
610,M,2,02/08/2016,12/08/2016,1,1.0,,02/08/201612/08/2016,,Not Available
611,F,1,08/13/2012,03/09/2016,1,1.0,,08/13/201203/09/2016,,Not Available
612,M,1,04/20/2016,05/16/2016,2,1.0,,04/20/201605/16/2016,,Not Available
613,M,2,06/27/2016,09/09/2016,1,1.0,,06/27/201609/09/2016,,Not Available
614,F,1,06/27/2016,09/26/2016,2,1.0,,06/27/201609/26/2016,,Not Available
615,M,2,06/13/2016,10/26/2016,1,1.0,,06/13/201610/26/2016,,Not Available
616,F,2,05/31/2011,06/30/2016,1,1.0,,05/31/201106/30/2016,,Not Available
617,F,1,05/11/2016,08/31/2016,1,1.0,,05/11/201608/31/2016,,Not Available
618,M,1,01/29/2014,08/15/2014,1,1.0,,01/29/201408/15/2014,,Not Available
619,M,1,07/11/2011,03/06/2015,1,1.0,,07/11/201103/06/2015,,Not Available
620,M,1,05/30/2011,07/15/2014,1,1.0,,05/30/201107/15/2014,,Not Available
621,M,1,06/12/2003,05/08/2014,2,1.0,,06/12/200305/08/2014,,Not Available
622,F,1,07/30/2012,07/08/2014,1,1.0,,07/30/201207/08/2014,,Not Available
623,F,1,06/04/2012,11/18/2014,2,1.0,,06/04/201211/18/2014,,Not Available
624,M,1,08/13/2012,04/29/2016,1,3.0,,08/13/201204/29/2016,,Not Available
625,M,1,11/12/2003,10/09/2015,1,3.0,,11/12/200310/09/2015,,Not Available
626,F,1,01/07/2013,03/19/2015,1,1.0,,01/07/201303/19/2015,,Not Available
627,F,1,08/05/2014,01/08/2016,1,1.0,,08/05/201401/08/2016,,Not Available
628,F,1,07/12/2007,11/28/2014,1,1.0,,07/12/200711/28/2014,,Not Available
629,F,1,07/24/2007,04/03/2014,2,5.0,,07/24/200704/03/2014,,Not Available
630,M,1,06/15/2010,04/03/2014,2,3.0,,06/15/201004/03/2014,,Not Available
631,F,1,10/27/2008,05/15/2014,2,1.0,,10/27/200805/15/2014,,Not Available
632,F,1,06/25/2012,03/01/2014,2,1.0,,06/25/201203/01/2014,,Not Available
633,M,1,01/29/1996,02/24/2015,2,5.0,,01/29/199602/24/2015,,Not Available
634,M,2,08/25/2008,08/10/2015,2,1.0,,08/25/200808/10/2015,,Not Available
635,M,2,10/04/2010,05/13/2015,1,1.0,,10/04/201005/13/2015,,Black or African American
636,M,2,08/28/2014,01/30/2015,2,1.0,,08/28/201401/30/2015,,Black or African American
637,F,2,08/03/2000,07/28/2014,1,5.0,,08/03/200007/28/2014,,Black or African American
638,M,2,04/28/2014,03/06/2015,1,1.0,,04/28/201403/06/2015,,Black or African American
639,M,2,09/16/2013,02/07/2014,1,1.0,,09/16/201302/07/2014,,Black or African American
640,F,2,10/07/2011,05/09/2014,1,1.0,,10/07/201105/09/2014,,Black or African American
641,F,2,12/23/2013,01/19/2015,1,1.0,,12/23/201301/19/2015,,Black or African American
642,M,2,06/09/2014,01/02/2015,1,1.0,,06/09/201401/02/2015,,Black or African American
643,M,2,05/05/2014,06/11/2015,1,1.0,,05/05/201406/11/2015,,Black or African American
644,M,2,04/21/2014,01/09/2015,1,2.0,,04/21/201401/09/2015,,Black or African American
645,M,2,10/23/2012,05/15/2015,1,1.0,,10/23/201205/15/2015,,Black or African American
646,F,2,04/29/2013,11/05/2014,1,1.0,,04/29/201311/05/2014,,Black or African American
647,M,1,05/16/2011,07/02/2014,2,1.0,,05/16/201107/02/2014,,Black or African American
648,F,1,05/28/2012,09/16/2014,1,1.0,,05/28/201209/16/2014,,Black or African American
649,F,2,12/08/2010,05/16/2014,1,1.0,,12/08/201005/16/2014,,Black or African American
650,F,2,03/28/2012,05/15/2015,1,1.0,,03/28/201205/15/2015,,Black or African American
651,M,1,02/10/2011,07/07/2014,2,1.0,,02/10/201107/07/2014,,Black or African American
652,F,2,10/14/2013,04/06/2015,1,1.0,,10/14/201304/06/2015,,Black or African American
653,M,2,11/04/2013,03/18/2015,2,1.0,,11/04/201303/18/2015,,Black or African American
654,M,1,03/15/2010,09/05/2014,1,1.0,,03/15/201009/05/2014,,Black or African American
655,F,2,03/10/2014,08/11/2014,2,1.0,,03/10/201408/11/2014,,Black or African American
656,M,2,03/18/2014,03/05/2015,2,3.0,,03/18/201403/05/2015,,Black or African American
657,M,2,05/31/2012,02/14/2014,1,1.0,,05/31/201202/14/2014,,Black or African American
658,F,2,10/15/2007,10/24/2014,1,1.0,,10/15/200710/24/2014,,Black or African American
659,F,1,03/03/2014,09/03/2014,1,1.0,,03/03/201409/03/2014,,Black or African American
660,M,2,10/06/2014,09/01/2015,1,1.0,,10/06/201409/01/2015,,Black or African American
661,M,2,09/08/2014,10/16/2014,1,1.0,,09/08/201410/16/2014,,Black or African American
662,F,2,11/03/1997,07/10/2015,1,1.0,,11/03/199707/10/2015,,Black or African American
663,M,1,08/07/2012,06/27/2014,1,1.0,,08/07/201206/27/2014,,Black or African American
664,M,2,01/25/1999,01/22/2014,1,1.0,,01/25/199901/22/2014,,Black or African American
665,M,1,01/18/1999,07/22/2014,2,1.0,,01/18/199907/22/2014,,Black or African American
666,F,1,06/28/2010,02/13/2015,1,1.0,,06/28/201002/13/2015,,Black or African American
667,F,1,02/22/2011,06/10/2014,1,1.0,,02/22/201106/10/2014,,Black or African American
