,Country,Ethnicity
0,1,White
1,1,White
2,1,White
3,1,White
4,1,White
5,1,White
6,1,White
7,1,White
8,1,White
9,1,White
10,1,White
11,1,White
12,1,White
13,1,White
14,1,White
15,1,White
16,1,White
17,2,White
18,2,White
19,2,White
20,2,White
21,2,White
22,2,White
23,2,White
24,2,White
25,2,White
26,2,White
27,2,White
28,2,White
29,2,White
30,2,White
31,1,White
32,2,White
33,2,White
34,2,White
35,2,White
36,2,White
37,2,White
38,2,White
39,1,White
40,1,White
41,1,White
42,2,White
43,2,White
44,2,White
45,1,White
46,1,White
47,2,White
48,2,White
49,2,White
50,1,White
51,2,White
52,2,White
53,2,White
54,1,White
55,2,White
56,2,White
57,2,White
58,2,White
59,2,White
60,2,White
61,2,White
62,2,White
63,1,White
64,1,White
65,2,White
66,2,White
67,2,White
68,1,White
69,1,White
70,1,White
71,1,White
72,2,White
73,2,White
74,2,White
75,2,White
76,2,White
77,2,White
78,1,White
79,2,White
80,2,White
81,2,White
82,2,White
83,1,White
84,2,White
85,2,White
86,2,White
87,1,White
88,1,White
89,2,White
90,2,White
91,2,White
92,1,White
93,2,White
94,1,White
95,2,White
96,2,White
97,1,White
98,1,White
99,2,White
100,2,White
101,2,White
102,2,White
103,2,White
104,2,White
105,2,White
106,2,White
107,2,White
108,2,White
109,2,White
110,2,White
111,2,White
112,2,White
113,2,White
114,2,White
115,2,White
116,2,White
117,2,White
118,2,White
119,2,White
120,2,White
121,2,White
122,2,White
123,2,White
124,2,White
125,2,White
126,1,White
127,2,White
128,2,White
129,2,White
130,2,White
131,2,White
132,2,White
133,2,White
134,2,White
135,2,White
136,2,White
137,1,White
138,2,White
139,1,White
140,1,White
141,2,White
142,2,White
143,2,White
144,2,White
145,2,White
146,2,White
147,2,White
148,2,White
149,2,White
150,2,White
151,2,White
152,2,White
153,2,White
154,1,White
155,1,White
156,1,White
157,2,White
158,2,White
159,2,White
160,2,White
161,2,White
162,1,White
163,1,White
164,1,White
165,1,White
166,1,White
167,1,White
168,1,White
169,1,White
170,1,White
171,1,White
172,1,White
173,1,White
174,1,White
175,1,White
176,1,White
177,1,White
178,1,White
179,1,White
180,1,White
181,1,White
182,2,White
183,2,White
184,1,White
185,2,White
186,2,White
187,2,White
188,2,White
189,2,White
190,2,White
191,2,White
192,2,White
193,2,White
194,2,White
195,2,White
196,2,White
197,2,White
198,2,White
199,2,White
200,2,White
201,1,White
202,2,White
203,2,White
204,1,White
205,1,White
206,2,White
207,1,White
208,2,White
209,2,White
210,2,White
211,2,White
212,2,White
213,2,White
214,2,White
215,2,White
216,2,White
217,2,White
218,2,White
219,2,White
220,2,White
221,2,White
222,2,White
223,2,White
224,1,White
225,1,White
226,2,White
227,2,White
228,1,White
229,1,White
230,2,White
231,2,White
232,2,White
233,2,White
234,2,White
235,2,White
236,2,White
237,1,White
238,2,White
239,1,White
240,1,White
241,2,White
242,2,White
243,2,White
244,2,White
245,1,White
246,1,White
247,1,White
248,1,White
249,1,White
250,1,White
251,2,White
252,2,White
253,2,White
254,1,White
255,2,White
256,2,White
257,1,White
258,1,White
259,1,White
260,1,White
261,2,White
262,2,White
263,2,White
264,2,White
265,2,White
266,2,White
267,2,White
268,2,White
269,2,White
270,2,White
271,2,White
272,2,White
273,1,White
274,2,White
275,2,White
276,2,White
277,2,White
278,2,White
279,2,White
280,2,White
281,2,White
282,2,White
283,1,White
284,2,White
285,2,White
286,2,White
287,2,White
288,2,White
289,2,White
290,2,White
291,1,White
292,2,White
293,2,White
294,2,White
295,2,White
296,2,White
297,2,White
298,2,White
299,2,White
300,2,White
301,2,White
302,2,White
303,2,White
304,2,White
305,2,White
306,2,White
307,2,White
308,2,White
309,2,White
310,2,White
311,2,White
312,2,White
313,2,White
314,2,White
315,2,White
316,2,White
317,1,White
318,2,White
319,1,White
320,2,White
321,2,White
322,2,White
323,2,White
324,1,White
325,1,White
326,1,White
327,1,White
328,1,White
329,1,White
330,1,White
331,1,White
332,1,White
333,1,White
334,1,White
335,1,White
336,2,White
337,2,White
338,2,White
339,2,White
340,2,White
341,1,White
342,1,White
343,1,White
344,1,White
345,2,White
346,2,White
347,2,White
348,2,White
349,2,White
350,2,White
351,2,White
352,2,White
353,2,White
354,1,White
355,1,White
356,1,White
357,2,White
358,1,White
359,2,White
360,1,White
361,2,White
362,2,White
363,2,White
364,2,White
365,2,White
366,2,White
367,2,White
368,2,White
369,2,White
370,2,White
371,2,White
372,2,White
373,2,White
374,2,White
375,2,White
376,1,White
377,1,White
378,1,White
379,1,White
380,1,White
381,1,White
382,1,White
383,2,White
384,2,White
385,2,White
386,2,White
387,2,White
388,1,White
389,1,White
390,2,White
391,2,White
392,2,White
393,2,White
394,1,White
395,1,White
396,2,White
397,2,White
398,2,White
399,1,White
400,1,White
401,2,White
402,1,White
403,2,White
404,2,White
405,2,White
406,2,White
407,2,White
408,2,White
409,2,White
410,2,White
411,2,White
412,2,White
413,2,White
414,2,White
415,2,White
416,2,White
417,2,White
418,2,White
419,2,White
420,2,White
421,2,White
422,1,White
423,2,White
424,2,White
425,2,White
426,2,White
427,2,White
428,2,White
429,2,White
430,2,White
431,2,White
432,2,White
433,2,White
434,2,White
435,2,White
436,2,White
437,2,White
438,2,White
439,2,White
440,2,White
441,2,White
442,2,White
443,2,White
444,2,White
445,2,White
446,1,White
447,1,White
448,2,White
449,1,White
450,1,White
451,1,White
452,2,White
453,1,White
454,2,White
455,2,White
456,2,White
457,2,White
458,1,White
459,1,White
460,2,White
461,2,White
462,1,White
463,2,White
464,2,White
465,2,White
466,2,White
467,1,White
468,1,White
469,1,White
470,1,White
471,1,White
472,1,White
473,1,White
474,1,White
475,1,White
476,2,White
477,2,White
478,2,White
479,2,White
480,2,White
481,2,White
482,2,White
483,2,White
484,2,White
485,1,White
486,1,White
487,1,White
488,1,White
489,1,White
490,2,White
491,2,White
492,2,White
493,2,White
494,2,White
495,2,White
496,2,White
497,2,White
498,2,White
499,2,White
500,2,White
501,2,White
502,2,White
503,2,White
504,2,White
505,2,White
506,2,White
507,1,White
508,2,White
509,2,White
510,2,White
511,2,White
512,2,White
513,2,White
514,2,White
515,2,White
516,2,White
517,2,White
518,1,White
519,1,White
520,2,White
521,1,White
522,2,White
523,2,White
524,2,White
525,2,White
526,2,White
527,2,White
528,2,White
529,2,White
530,2,White
531,2,White
532,1,White
533,2,White
534,1,White
535,2,White
536,1,White
537,1,White
538,1,White
539,1,White
540,2,White
541,2,White
542,2,White
543,2,White
544,2,White
545,2,White
546,1,White
547,1,White
548,2,White
549,1,White
550,2,White
551,2,White
552,2,White
553,2,White
554,1,White
555,2,White
556,2,White
557,1,White
558,1,White
559,2,White
560,1,White
561,2,White
562,1,White
563,1,White
564,1,White
565,1,White
566,1,White
567,1,White
568,2,White
569,2,White
570,2,White
571,2,White
572,2,White
573,2,White
574,2,White
575,2,White
576,2,White
577,2,White
578,2,Not Available
579,2,Not Available
580,2,Not Available
581,2,Not Available
582,2,Not Available
583,2,Not Available
584,2,Not Available
585,2,Not Available
586,2,Not Available
587,2,Not Available
588,2,Not Available
589,2,Not Available
590,1,Not Available
591,1,Not Available
592,2,Not Available
593,2,Not Available
594,2,Not Available
595,2,Not Available
596,2,Not Available
597,2,Not Available
598,2,Not Available
599,2,Not Available
600,2,Not Available
601,2,Not Available
602,2,Not Available
603,2,Not Available
604,2,Not Available
605,2,Not Available
606,2,Not Available
607,2,Not Available
608,2,Not Available
609,1,Not Available
610,2,Not Available
611,1,Not Available
612,1,Not Available
613,2,Not Available
614,1,Not Available
615,2,Not Available
616,2,Not Available
617,1,Not Available
618,1,Not Available
619,1,Not Available
620,1,Not Available
621,1,Not Available
622,1,Not Available
623,1,Not Available
624,1,Not Available
625,1,Not Available
626,1,Not Available
627,1,Not Available
628,1,Not Available
629,1,Not Available
630,1,Not Available
631,1,Not Available
632,1,Not Available
633,1,Not Available
634,2,Not Available
635,2,Black or African American
636,2,Black or African American
637,2,Black or African American
638,2,Black or African American
639,2,Black or African American
640,2,Black or African American
641,2,Black or African American
642,2,Black or African American
643,2,Black or African American
644,2,Black or African American
645,2,Black or African American
646,2,Black or African American
647,1,Black or African American
648,1,Black or African American
649,2,Black or African American
650,2,Black or African American
651,1,Black or African American
652,2,Black or African American
653,2,Black or African American
654,1,Black or African American
655,2,Black or African American
656,2,Black or African American
657,2,Black or African American
658,2,Black or African American
659,1,Black or African American
660,2,Black or African American
661,2,Black or African American
662,2,Black or African American
663,1,Black or African American
664,2,Black or African American
665,1,Black or African American
666,1,Black or African American
667,1,Black or African American
668,1,Black or African American
669,1,Black or African American
670,2,Black or African American
671,2,Black or African American
672,1,Black or African American
673,2,Black or African American
674,2,Black or African American
675,2,Black or African American
676,2,Black or African American
677,2,Black or African American
678,1,Black or African American
679,2,Black or African American
680,2,Black or African American
681,2,Black or African American
682,1,Black or African American
683,1,Black or African American
684,2,Black or African American
685,2,Black or African American
686,2,Black or African American
687,1,Black or African American
688,1,Black or African American
689,1,Black or African American
690,2,Black or African American
691,1,Black or African American
692,2,Black or African American
693,2,Black or African American
694,1,Black or African American
695,1,Black or African American
696,2,Black or African American
697,2,Black or African American
698,2,Black or African American
699,1,Black or African American
700,1,Black or African American
701,1,Black or African American
702,2,Black or African American
703,1,Black or African American
704,2,Black or African American
705,2,Black or African American
706,2,Black or African American
707,2,Black or African American
708,1,Black or African American
709,1,Black or African American
710,2,Black or African American
711,2,Black or African American
712,2,Black or African American
713,1,Black or African American
714,2,Black or African American
715,2,Black or African American
716,2,Black or African American
717,2,Black or African American
718,2,Black or African American
719,2,Black or African American
720,1,Black or African American
721,1,Black or African American
722,2,Black or African American
723,2,Black or African American
724,2,Black or African American
725,2,Black or African American
726,2,Black or African American
727,2,Black or African American
728,2,Black or African American
729,2,Black or African American
730,2,Black or African American
731,2,Black or African American
732,2,Black or African American
733,2,Black or African American
734,2,Black or African American
735,2,Black or African American
736,2,Black or African American
737,2,Black or African American
738,2,Black or African American
739,2,Black or African American
740,2,Black or African American
741,2,Black or African American
742,2,Black or African American
743,1,Black or African American
744,2,Black or African American
745,1,Black or African American
746,1,Black or African American
747,1,Black or African American
748,1,Black or African American
749,2,Black or African American
750,2,Black or African American
751,2,Black or African American
752,1,Black or African American
753,1,Black or African American
754,1,Black or African American
755,1,Black or African American
756,1,Black or African American
757,1,Black or African American
758,1,Black or African American
759,1,Black or African American
760,1,Black or African American
761,1,Black or African American
762,1,Black or African American
763,1,Black or African American
764,1,Black or African American
765,1,Black or African American
766,1,Black or African American
767,1,Black or African American
768,1,Black or African American
769,1,Black or African American
770,1,Black or African American
771,1,Black or African American
772,1,Black or African American
773,2,Black or African American
774,2,Black or African American
775,2,Black or African American
776,2,Black or African American
777,2,Black or African American
778,2,Black or African American
779,2,Black or African American
780,2,Black or African American
781,2,Black or African American
782,2,Black or African American
783,2,Black or African American
784,2,Black or African American
785,2,Black or African American
786,2,Black or African American
787,2,Black or African American
788,1,Black or African American
789,2,Black or African American
790,2,Black or African American
791,2,Black or African American
792,2,Black or African American
793,2,Black or African American
794,2,Black or African American
795,2,Black or African American
796,2,Black or African American
797,2,Black or African American
798,2,Black or African American
799,2,Black or African American
800,2,Black or African American
801,2,Black or African American
802,2,Black or African American
803,2,Black or African American
804,2,Black or African American
805,2,Black or African American
806,2,Black or African American
807,2,Black or African American
808,2,Black or African American
809,2,Black or African American
810,2,Black or African American
811,2,Black or African American
812,2,Black or African American
813,2,Black or African American
814,2,Black or African American
815,1,Black or African American
816,1,Black or African American
817,2,Black or African American
818,1,Black or African American
819,2,Black or African American
820,2,Black or African American
821,2,Black or African American
822,2,Black or African American
823,2,Black or African American
824,2,Black or African American
825,2,Black or African American
826,2,Black or African American
827,2,Black or African American
828,2,Black or African American
829,1,Black or African American
830,2,Black or African American
831,1,Black or African American
832,1,Black or African American
833,1,Black or African American
834,2,Black or African American
835,2,Black or African American
836,2,Black or African American
837,1,Black or African American
838,1,Black or African American
839,1,Black or African American
840,2,Black or African American
841,2,Black or African American
842,1,Black or African American
843,2,Black or African American
844,1,Black or African American
845,2,Black or African American
846,1,Black or African American
847,2,Black or African American
848,2,Black or African American
849,2,Black or African American
850,2,Black or African American
851,2,Black or African American
852,2,Black or African American
853,2,Black or African American
854,2,Black or African American
855,2,Black or African American
856,2,Black or African American
857,2,Black or African American
858,2,Black or African American
859,2,Black or African American
860,2,Black or African American
861,2,Black or African American
862,2,Black or African American
863,2,Black or African American
864,2,Black or African American
865,2,Black or African American
866,2,Black or African American
867,1,Black or African American
868,1,Black or African American
869,2,Black or African American
870,2,Black or African American
871,2,Black or African American
872,2,Black or African American
873,2,Black or African American
874,2,Black or African American
875,2,Black or African American
876,2,Black or African American
877,2,Black or African American
878,2,Black or African American
879,2,Black or African American
880,2,Black or African American
881,2,Black or African American
882,2,Black or African American
883,2,Black or African American
884,2,Black or African American
885,2,Black or African American
886,2,Black or African American
887,2,Black or African American
888,2,Black or African American
889,2,Black or African American
890,2,Black or African American
891,2,Black or African American
892,2,Black or African American
893,2,Black or African American
894,2,Black or African American
895,1,Black or African American
896,1,Black or African American
897,1,Black or African American
898,2,Black or African American
899,1,Black or African American
900,2,Black or African American
901,2,Black or African American
902,1,Black or African American
903,2,Black or African American
904,2,Black or African American
905,1,Black or African American
906,1,Black or African American
907,1,Black or African American
908,1,Black or African American
909,1,Black or African American
910,1,Black or African American
911,1,Black or African American
912,1,Black or African American
913,1,Black or African American
914,1,Black or African American
915,1,Black or African American
916,1,Black or African American
917,1,Black or African American
918,1,Black or African American
919,2,Black or African American
920,2,Black or African American
921,2,Black or African American
922,2,Black or African American
923,2,Black or African American
924,2,Black or African American
925,2,Black or African American
926,2,Black or African American
927,2,Black or African American
928,2,Black or African American
929,2,Black or African American
930,1,Black or African American
931,2,Black or African American
932,2,Black or African American
933,2,Black or African American
934,2,Black or African American
935,2,Black or African American
936,2,Black or African American
937,2,Black or African American
938,2,Black or African American
939,2,Black or African American
940,2,Black or African American
941,2,Black or African American
942,2,Black or African American
943,2,Black or African American
944,2,Black or African American
945,2,Black or African American
946,1,Black or African American
947,2,Black or African American
948,2,Black or African American
949,2,Black or African American
950,2,Black or African American
951,2,Black or African American
952,2,Black or African American
953,1,Black or African American
954,2,Black or African American
955,2,Black or African American
956,2,Black or African American
957,2,Black or African American
958,2,Black or African American
959,2,Black or African American
960,2,Black or African American
961,2,Black or African American
962,2,Black or African American
963,2,Black or African American
964,2,Black or African American
965,2,Black or African American
966,2,Black or African American
967,1,Black or African American
968,1,Black or African American
969,1,Black or African American
970,2,Black or African American
971,2,Black or African American
972,2,Black or African American
973,2,Black or African American
974,2,Black or African American
975,2,Black or African American
976,2,Black or African American
977,2,Black or African American
978,2,Black or African American
979,2,Black or African American
980,2,Black or African American
981,1,Black or African American
982,1,Black or African American
983,2,Black or African American
984,2,Black or African American
985,2,Black or African American
986,2,Black or African American
987,1,Black or African American
988,2,Black or African American
989,1,Black or African American
990,2,Black or African American
991,2,Black or African American
992,2,Black or African American
993,2,Black or African American
994,2,Black or African American
995,2,Black or African American
996,2,Black or African American
997,2,Black or African American
998,2,Black or African American
999,2,Black or African American
1000,2,Black or African American
1001,2,Black or African American
1002,2,Black or African American
1003,2,Black or African American
1004,2,Black or African American
1005,2,Black or African American
1006,2,Black or African American
1007,2,Black or African American
1008,2,Black or African American
1009,2,Black or African American
1010,2,Black or African American
1011,2,Black or African American
1012,2,Black or African American
1013,2,Black or African American
1014,2,Black or African American
1015,2,Black or African American
1016,2,Black or African American
1017,2,Black or African American
1018,2,Black or African American
1019,2,Black or African American
1020,2,Black or African American
1021,2,Black or African American
1022,2,Black or African American
1023,2,Black or African American
1024,2,Black or African American
1025,2,Black or African American
1026,2,Black or African American
1027,1,Black or African American
1028,2,Black or African American
1029,1,Black or African American
1030,1,Black or African American
1031,2,Black or African American
1032,2,Black or African American
1033,2,Black or African American
1034,1,Black or African American
1035,1,Black or African American
1036,1,Black or African American
1037,1,Black or African American
1038,1,Black or African American
1039,1,Black or African American
1040,1,Black or African American
1041,1,Black or African American
1042,1,Black or African American
1043,1,Black or African American
1044,1,Black or African American
1045,1,Black or African American
1046,1,Black or African American
1047,1,Black or African American
1048,1,Black or African American
1049,1,Black or African American
1050,1,Black or African American
1051,1,Black or African American
1052,1,Black or African American
1053,1,Black or African American
1054,1,Black or African American
1055,2,Black or African American
1056,2,Black or African American
1057,1,Black or African American
1058,2,Black or African American
1059,2,Black or African American
1060,2,Black or African American
1061,2,Black or African American
1062,2,Black or African American
1063,2,Black or African American
1064,1,Black or African American
1065,2,Black or African American
1066,1,Black or African American
1067,1,Black or African American
1068,2,Black or African American
1069,2,Black or African American
1070,1,Black or African American
1071,2,Black or African American
1072,2,Black or African American
1073,2,Black or African American
1074,2,Black or African American
1075,2,Black or African American
1076,2,Black or African American
1077,2,Black or African American
1078,2,Black or African American
1079,2,Black or African American
1080,2,Black or African American
1081,2,Black or African American
1082,2,Black or African American
1083,2,Black or African American
1084,2,Black or African American
1085,2,Black or African American
1086,2,Black or African American
1087,2,Black or African American
1088,2,Black or African American
1089,1,Black or African American
1090,2,Black or African American
1091,2,Black or African American
1092,2,Black or African American
1093,2,Black or African American
1094,2,Black or African American
1095,1,Black or African American
1096,2,Black or African American
1097,2,Black or African American
1098,1,Black or African American
1099,2,Black or African American
1100,2,Black or African American
1101,2,Black or African American
1102,2,Black or African American
1103,2,Black or African American
1104,2,Black or African American
1105,2,Black or African American
1106,1,Black or African American
1107,2,Black or African American
1108,1,Black or African American
1109,1,Black or African American
1110,2,Black or African American
1111,1,Black or African American
1112,1,Black or African American
1113,2,Black or African American
1114,2,Black or African American
1115,2,Black or African American
1116,2,Black or African American
1117,2,Black or African American
1118,2,Black or African American
1119,2,Black or African American
1120,2,Black or African American
1121,2,Black or African American
1122,2,Black or African American
1123,1,Black or African American
1124,1,Black or African American
1125,1,Black or African American
1126,2,Black or African American
1127,1,Black or African American
1128,1,Black or African American
1129,1,Black or African American
1130,1,Black or African American
1131,1,Black or African American
1132,2,Black or African American
1133,1,Black or African American
1134,1,Black or African American
1135,2,Black or African American
1136,2,Black or African American
1137,1,Black or African American
1138,2,Black or African American
1139,2,Black or African American
1140,2,Black or African American
1141,2,Black or African American
1142,2,Black or African American
1143,2,Black or African American
1144,2,Black or African American
1145,2,Black or African American
1146,2,Black or African American
1147,2,Black or African American
1148,1,Black or African American
1149,2,Black or African American
1150,1,Black or African American
1151,2,Black or African American
1152,2,Black or African American
1153,2,Black or African American
1154,2,Black or African American
1155,2,Black or African American
1156,2,Black or African American
1157,2,Black or African American
1158,2,Black or African American
1159,2,Black or African American
1160,2,Black or African American
1161,2,Black or African American
1162,2,Black or African American
1163,2,Black or African American
1164,2,Black or African American
1165,2,Black or African American
1166,2,Black or African American
1167,2,Black or African American
1168,2,Black or African American
1169,2,Black or African American
1170,2,Black or African American
1171,2,Black or African American
1172,2,Black or African American
1173,2,Black or African American
1174,2,Black or African American
1175,2,Black or African American
1176,2,Black or African American
1177,2,Black or African American
1178,1,Black or African American
1179,2,Black or African American
1180,2,Black or African American
1181,1,Black or African American
1182,2,Black or African American
1183,1,Black or African American
1184,2,Black or African American
1185,2,Black or African American
1186,2,Black or African American
1187,2,Black or African American
1188,1,Black or African American
1189,1,Black or African American
1190,2,Black or African American
1191,1,Black or African American
