rank,Video,Video views,Likes,Dislikes,Category,published
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,True,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
